timestamp,flight,status,departure scheduled time,departure actual time,departure actual date,arrival scheduled time,arrival actual time,arrival actual date,parsed status,raw
Sun May  7 16:00:01 UTC 2017,5001,Arrived Gate 10 Minutes Early,1:27 p.m.,1:28 p.m.,"Sat, May 6",2:04 p.m.,1:54 p.m.,"Sat, May 6",early,"{'5001','STATUS','Arrived Gate 10 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:28 p.m.','DEPARTURE','Actual date:','Sat, May 6','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:54 p.m.','ARRIVAL','Actual date:','Sat, May 6'}"
Sun May  7 16:00:01 UTC 2017,5109,Arrived Gate 22 Minutes Early,6:10 a.m.,6:04 a.m.,"Sat, May 6",6:47 a.m.,6:25 a.m.,"Sat, May 6",early,"{'5109','STATUS','Arrived Gate 22 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:04 a.m.','DEPARTURE','Actual date:','Sat, May 6','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:25 a.m.','ARRIVAL','Actual date:','Sat, May 6'}"
Mon May  8 16:00:00 UTC 2017,5061,Arrived Gate 9 Minutes Early,9:10 p.m.,8:59 p.m.,"Sun, May 7",11:36 p.m.,11:27 p.m.,"Sun, May 7",early,"{'5061','STATUS','Arrived Gate 9 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','8:59 p.m.','DEPARTURE','Actual date:','Sun, May 7','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:27 p.m.','ARRIVAL','Actual date:','Sun, May 7'}"
Mon May  8 16:00:00 UTC 2017,5141,Arrived Gate 1 Minute Early,10:30 a.m.,10:22 a.m.,"Sun, May 7",12:56 p.m.,12:55 p.m.,"Sun, May 7",early,"{'5141','STATUS','Arrived Gate 1 Minute Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:22 a.m.','DEPARTURE','Actual date:','Sun, May 7','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:55 p.m.','ARRIVAL','Actual date:','Sun, May 7'}"
Mon May  8 16:00:00 UTC 2017,5001,Arrived Gate 7 Minutes Early,1:27 p.m.,1:19 p.m.,"Sun, May 7",2:04 p.m.,1:57 p.m.,"Sun, May 7",early,"{'5001','STATUS','Arrived Gate 7 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:19 p.m.','DEPARTURE','Actual date:','Sun, May 7','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:57 p.m.','ARRIVAL','Actual date:','Sun, May 7'}"
Mon May  8 16:00:00 UTC 2017,5109,Arrived Gate 20 Minutes Early,6:10 a.m.,6:06 a.m.,"Sun, May 7",6:47 a.m.,6:27 a.m.,"Sun, May 7",early,"{'5109','STATUS','Arrived Gate 20 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:06 a.m.','DEPARTURE','Actual date:','Sun, May 7','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:27 a.m.','ARRIVAL','Actual date:','Sun, May 7'}"
Tue May  9 16:00:01 UTC 2017,5061,Delayed due to operational difficulties (arrived gate 40 minutes late),9:10 p.m.,9:51 p.m.,"Mon, May 8",11:36 p.m.,12:16 a.m.,"Tue, May 9",late,"{'5061','STATUS','Delayed due to operational difficulties (arrived gate 40 minutes late)','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:51 p.m.','DEPARTURE','Actual date:','Mon, May 8','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','12:16 a.m.','ARRIVAL','Actual date:','Tue, May 9'}"
Tue May  9 16:00:01 UTC 2017,5141,Arrived Gate 1 Minute Early,10:30 a.m.,10:21 a.m.,"Mon, May 8",12:56 p.m.,12:55 p.m.,"Mon, May 8",early,"{'5141','STATUS','Arrived Gate 1 Minute Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:21 a.m.','DEPARTURE','Actual date:','Mon, May 8','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:55 p.m.','ARRIVAL','Actual date:','Mon, May 8'}"
Tue May  9 16:00:01 UTC 2017,5001,Arrived Gate 20 Minutes Early,1:27 p.m.,1:21 p.m.,"Mon, May 8",2:04 p.m.,1:44 p.m.,"Mon, May 8",early,"{'5001','STATUS','Arrived Gate 20 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:21 p.m.','DEPARTURE','Actual date:','Mon, May 8','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:44 p.m.','ARRIVAL','Actual date:','Mon, May 8'}"
Tue May  9 16:00:01 UTC 2017,5109,Arrived Gate 11 Minutes Early,6:10 a.m.,6:05 a.m.,"Mon, May 8",6:47 a.m.,6:36 a.m.,"Mon, May 8",early,"{'5109','STATUS','Arrived Gate 11 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:05 a.m.','DEPARTURE','Actual date:','Mon, May 8','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:36 a.m.','ARRIVAL','Actual date:','Mon, May 8'}"
