timestamp,flight,status,departure scheduled time,departure actual time,departure actual date,arrival scheduled time,arrival actual time,arrival actual date,parsed status,raw
Wed Jul  5 16:00:02 UTC 2017,5061,Arrived Gate 6 Minutes Early,6:15 p.m.,6:08 p.m.,"Tue, Jul 4",8:41 p.m.,8:35 p.m.,"Tue, Jul 4",early,"{'5061','STATUS','Arrived Gate 6 Minutes Early','DEPARTURE','Scheduled time:','6:15 p.m.','DEPARTURE','Actual time:','6:08 p.m.','DEPARTURE','Actual date:','Tue, Jul 4','ARRIVAL','Scheduled time:','8:41 p.m.','ARRIVAL','Actual time:','8:35 p.m.','ARRIVAL','Actual date:','Tue, Jul 4'}"
Wed Jul  5 16:00:02 UTC 2017,5141,Arrived Gate 17 Minutes Early,10:30 a.m.,10:23 a.m.,"Tue, Jul 4",12:56 p.m.,12:39 p.m.,"Tue, Jul 4",early,"{'5141','STATUS','Arrived Gate 17 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:23 a.m.','DEPARTURE','Actual date:','Tue, Jul 4','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:39 p.m.','ARRIVAL','Actual date:','Tue, Jul 4'}"
Wed Jul  5 16:00:02 UTC 2017,5001,Arrived Gate 15 Minutes Early,1:30 p.m.,1:20 p.m.,"Tue, Jul 4",2:04 p.m.,1:49 p.m.,"Tue, Jul 4",early,"{'5001','STATUS','Arrived Gate 15 Minutes Early','DEPARTURE','Scheduled time:','1:30 p.m.','DEPARTURE','Actual time:','1:20 p.m.','DEPARTURE','Actual date:','Tue, Jul 4','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:49 p.m.','ARRIVAL','Actual date:','Tue, Jul 4'}"
Wed Jul  5 16:00:02 UTC 2017,5109,Arrived Gate 3 Minutes Early,6:00 a.m.,5:51 a.m.,"Tue, Jul 4",6:29 a.m.,6:26 a.m.,"Tue, Jul 4",early,"{'5109','STATUS','Arrived Gate 3 Minutes Early','DEPARTURE','Scheduled time:','6:00 a.m.','DEPARTURE','Actual time:','5:51 a.m.','DEPARTURE','Actual date:','Tue, Jul 4','ARRIVAL','Scheduled time:','6:29 a.m.','ARRIVAL','Actual time:','6:26 a.m.','ARRIVAL','Actual date:','Tue, Jul 4'}"
Thu Jul  6 16:00:01 UTC 2017,5061,Arrived Gate 1 Hour 32 Minutes Late,9:08 p.m.,10:44 p.m.,"Wed, Jul 5",11:34 p.m.,1:06 a.m.,"Thu, Jul 6",late,"{'5061','STATUS','Arrived Gate 1 Hour 32 Minutes Late','DEPARTURE','Scheduled time:','9:08 p.m.','DEPARTURE','Actual time:','10:44 p.m.','DEPARTURE','Actual date:','Wed, Jul 5','ARRIVAL','Scheduled time:','11:34 p.m.','ARRIVAL','Actual time:','1:06 a.m.','ARRIVAL','Actual date:','Thu, Jul 6'}"
Thu Jul  6 16:00:01 UTC 2017,5141,Arrived Gate 10 Minutes Early,10:30 a.m.,10:24 a.m.,"Wed, Jul 5",12:56 p.m.,12:46 p.m.,"Wed, Jul 5",early,"{'5141','STATUS','Arrived Gate 10 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:24 a.m.','DEPARTURE','Actual date:','Wed, Jul 5','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:46 p.m.','ARRIVAL','Actual date:','Wed, Jul 5'}"
Thu Jul  6 16:00:01 UTC 2017,5001,Arrived Gate 7 Minutes Late,1:30 p.m.,1:28 p.m.,"Wed, Jul 5",2:04 p.m.,2:11 p.m.,"Wed, Jul 5",late,"{'5001','STATUS','Arrived Gate 7 Minutes Late','DEPARTURE','Scheduled time:','1:30 p.m.','DEPARTURE','Actual time:','1:28 p.m.','DEPARTURE','Actual date:','Wed, Jul 5','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','2:11 p.m.','ARRIVAL','Actual date:','Wed, Jul 5'}"
Thu Jul  6 16:00:01 UTC 2017,5109,Arrived Gate 7 Minutes Early,6:00 a.m.,5:50 a.m.,"Wed, Jul 5",6:29 a.m.,6:22 a.m.,"Wed, Jul 5",early,"{'5109','STATUS','Arrived Gate 7 Minutes Early','DEPARTURE','Scheduled time:','6:00 a.m.','DEPARTURE','Actual time:','5:50 a.m.','DEPARTURE','Actual date:','Wed, Jul 5','ARRIVAL','Scheduled time:','6:29 a.m.','ARRIVAL','Actual time:','6:22 a.m.','ARRIVAL','Actual date:','Wed, Jul 5'}"
Fri Jul  7 16:00:02 UTC 2017,5061,Arrived Gate 10 Minutes Early,9:08 p.m.,9:02 p.m.,"Thu, Jul 6",11:34 p.m.,11:24 p.m.,"Thu, Jul 6",early,"{'5061','STATUS','Arrived Gate 10 Minutes Early','DEPARTURE','Scheduled time:','9:08 p.m.','DEPARTURE','Actual time:','9:02 p.m.','DEPARTURE','Actual date:','Thu, Jul 6','ARRIVAL','Scheduled time:','11:34 p.m.','ARRIVAL','Actual time:','11:24 p.m.','ARRIVAL','Actual date:','Thu, Jul 6'}"
Fri Jul  7 16:00:02 UTC 2017,5141,Arrived Gate 14 Minutes Early,10:30 a.m.,10:23 a.m.,"Thu, Jul 6",12:56 p.m.,12:42 p.m.,"Thu, Jul 6",early,"{'5141','STATUS','Arrived Gate 14 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:23 a.m.','DEPARTURE','Actual date:','Thu, Jul 6','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:42 p.m.','ARRIVAL','Actual date:','Thu, Jul 6'}"
Fri Jul  7 16:00:02 UTC 2017,5001,Arrived Gate 2 Minutes Late,1:30 p.m.,1:19 p.m.,"Thu, Jul 6",2:04 p.m.,2:06 p.m.,"Thu, Jul 6",late,"{'5001','STATUS','Arrived Gate 2 Minutes Late','DEPARTURE','Scheduled time:','1:30 p.m.','DEPARTURE','Actual time:','1:19 p.m.','DEPARTURE','Actual date:','Thu, Jul 6','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','2:06 p.m.','ARRIVAL','Actual date:','Thu, Jul 6'}"
